"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","1,836,217,740.966405499","No"
"0x0c2aec9f9fae8205503d26eb730a4d15f9adc9ff","860,525,086.97980033","No"
"0x7ca57832836992b504999b2bf8b05721ae7a709e","488,649,817.140954648","No"
"0xa908cee43ea08d244f4808499ef1cd21fdfb8b83","330,754,805.973855942","No"
"0xe933061b02037e29c0ab8da518ea6b2f633195ac","324,761,149.796640539","No"
"0x174bcb348c6fa54f0e1fb5a57857ef647643f5e2","302,607,330.856091967","No"
"0x6e26d6016b3c11565a142b02a5945519be4d8ff5","224,289,608.94302059","No"
"0xc4028c32e4a63b3ff21b8ada5d1375c09a5c7b07","209,992,222.470673469","No"
"0x43825e5d3c8bb53e55634239241f345c8d8677fc","201,447,815","No"
"0xf9027014d83630674aa5c8f1c97bb4aa3452281c","200,019,157.442028811","No"
"0x01a1373cc0b90e061790dce88ae056cd3f7a1d30","185,383,507.066625588","No"
"0xee04bf045f97c9bad6a3a587e17a54f08f9a3112","185,042,613.06125332","No"
"0x0420b50482bd6939db1a21344c858dc68babf573","179,070,138.886799096","No"
"0xf90c8b6c83469aac8f9f62afb3c28254c9248bf6","161,088,056.031740158","No"
"0xbc989f0036bf540ddafe98db7be3c1fdb7dd336a","145,639,010.230504414","No"
"0x46fac2ca8bebd8b36545dccfabf83a224ca242c5","144,042,505.170544156","No"
"0x972835082766e89423bca59a07013ae881955b27","140,282,581.669499522","No"
"0x0436e2738bd63ecdae0388bd456edf37dc15ceee","135,670,436.22440001","No"
"0xe6691a12841a97ebbb8c36c1270b3768e317622f","129,677,970.918408487","No"
"0xef56613ff5c82d5379398c5c068f312777fad08c","123,758,313.144742802","No"
"0xd4518b4c2c057007fc104bffb5fdfc96ca6e94c1","117,151,206.404539694","No"
"0xfd8204542cfe9d19b4d2934f9c43f91bdf59170e","109,108,581.105058391","No"
"0x6f8970d7c431df90d000ac160d6beecff6b60564","98,826,952.968973808","No"
"0xdfa8a8194c900c4a373f36ddfcf5e238e744dcaa","93,290,208.02522622","No"
"0xcc89be12f7e28dc0b159abc627244409ed23e48e","92,882,514.077916697","No"
"0xf23e81ee4e51d40fae1f8f51a1fcd62f9f3c02e0","91,925,843.941865296","No"
"0x6bf7e322e23a31edf91c9791363b14c8d5cee83f","89,085,483.239561356","No"
"0x49fd33c8d4700418a86993892188ae8c9d5c5750","86,434,448.829323563","No"
"0x697647b5577221048d051ec2ecaa8ac85fccc759","80,018,762.297263305","No"
"0xbf42db696cd451f28a23a00e49f545964e5b38bf","72,561,450.720809632","No"
"0xac082d28ebc3a8b1f4feb4113ae1831bed668802","71,959,771.042350458","No"
"0xc00b5b7701a7dfb1cdd6a8b93b7b7684d697c46e","69,457,068.945285506","No"
"0x172cdad8d114660ffeb7bdb87fe3fc8772c07ff4","65,431,985.085454804","No"
"0x4debe508d4fa7da16cbaeb6226749053fb07a760","59,897,103.717560903","No"
"0x53753b453e16aa1a868c3ed297e830c341233725","56,908,344.77687933","No"
"0x54ed13821809bebabdf40d22f6ca04d97aea67a5","56,500,000.840971029","No"
"0x7e2f4f20b7fe9e5a5157d1a03447946af8626363","54,871,545.638258616","No"
"0x9f9da123467c97d5fd6d1a0057577a9f0d0280be","54,146,142.364665706","No"
"0xecdbe3d9dfc38faa66e2836f6f2472fc9d43a9bb","53,796,282.665358725","No"
"0x91472c3ab0af49a3e922d258d0bad2cefd068de0","53,172,602.154929941","No"
"0x63be6391e09a8b84bd891242523b5af98806dc23","48,688,918.64","No"
"0xeb80077d98a5f4407afe29cda0293d3f8a55805c","45,908,157.488559581","No"
"0xa755089447b99ad058037d315bcfe230cdcfba5b","44,750,740","No"
"0x812a7d495f189828a9fc081d145fe3dd2f7cea88","44,221,685.297060739","No"
"0x17bc87c7a28b33c501e50c693179b63811fe3429","40,778,045.98629722","No"
"0xfcd31335a90112897f1607ef09c04d5745628c92","39,898,198.006615586","No"
"0x430576f9f2eb4f3694a62befce0374f17fd4324b","38,684,058.180193585","No"
"0x5d97f2a2f9844a7d00e413827cf9f76426a5ab38","36,863,732.897094578","No"
"0x20664cacdcfeb318c8e145a03c75e34bc2cc4a3b","36,292,760.342063887","No"
"0x1e5d1d00b91b30ed7e9913173054e73f7224eaf3","32,820,078.05445997","No"
"0xfb060ecb4458684f7a3767bbd5078be772c453cf","32,719,258.017640907","No"
"0x1a215117eda3191b3773bf059448a5b91a865772","31,201,632","No"
"0xf559f43970454c8a1eb2622bd8ba021eb76c7df1","30,888,803.115774228","No"
"0xd9a0e5b8a743ca7438b905f1ad06a48d85f14017","28,792,986.58566602","No"
"0x2c82fc8978543695438e23f21257172d962098e5","28,458,193.37144252","No"
"0x59002c5269eea417eaf6de1562c4495e6b7f9c67","28,438,938.82","No"
"0x800579594614b23e9ec7bb44406bdedd45fea932","28,009,664.68","No"
"0x86bf8964b91524cd1458b4baa1d2ae273a2e638c","25,922,956.498531562","No"
"0x83bbef415e3fdc658b9f3afce13ba52cf76f0c81","25,401,795.795781399","No"
"0x9b32b28f1a0fe3853c1a87c75c1636b2ae7293e0","25,389,461.949053688","No"
"0xf1c60d62d23cf4826ceceb443a5feefba0d60335","25,379,320.303120372","No"
"0x9c627d113050824d8f927fda166bdfc43ff16006","25,133,150.164941076","No"
"0xe6ab467b5270bd0f9ec908a4307863417826a8db","23,648,619.68734849","No"
"0x5ef731404688a9f3f305f1d347689e4319d1bb1f","22,109,623.139486944","No"
"0xcff0230352ce30f48bf1111fe4f0e3303725d790","21,921,541.614605982","No"
"0xf3795e37cb6fa3c6ad4bdca2e53e2f465aa88578","21,300,457.252653042","No"
"0xb52c38dc41ca104da116e5b738fd8a2f077a45c2","20,955,797.729237927","No"
"0x007128f47d36d7f69b371add656b169aa79e16f8","20,705,667.109183554","No"
"0x43ebb5db58ab8918ad9a542cbebd1ea76e19205b","20,644,792.164942656","No"
"0x7f0a46987d66613d4045ee0080412b88d706a7d9","20,595,664.203274627","No"
"0x1412ebca936f82d187a54534eb674b2c0e42ee65","19,986,683.741233308","No"
"0x708af78335616e5b051c8a1f438f5b885876775d","17,100,475.349383797","No"
"0xdff3e39d9a1bea17bf933fd7378b576ba99275ac","17,047,641.095669032","No"
"0x7b056922454c88dbda43117cfbc4363e410f245c","16,511,502.39093","No"
"0xc85854f035db718d1fe12bd5e3d185689f344071","16,289,787.57","No"
"0x9c04e63edcfddc3d46284fe5747162f0e6c6f2bd","15,979,969.912486075","No"
"0xf1bbba86a1e23fe4a3ab7d5c03e1fe11eedf258b","15,329,507.027345766","No"
"0x2bf4825df697907b8fd607a6c655616b2c05ad3e","15,130,488","No"
"0x15056f72d6030b293a69a2451725785604b315e9","14,984,745.934894139","No"
"0xbc8b5f51ebcec5a155fffec1f3b5ddace9cf63d9","14,923,279.777827788","No"
"0x657057fc6fca12c581e1c32a254470abf730283b","14,786,759.970527045","No"
"0x103c9c7a43caf200d70c89ae39fb535a50b4ebe4","14,377,304.661511846","No"
"0x53d6be661acfd4a7ea7624d872b3b9d46516b14c","14,332,452.064816996","No"
"0x79d8f7d5f1bdcf3c5cbcaddb6cae5a87a4508fe2","14,248,210","No"
"0x8996a92f295add28203357cfc2634f0ae46e8e07","14,025,217.34","No"
"0x71f92436768d4057bdb1c7a997a05e7cb07b923a","12,773,208.340215221","No"
"0xc46ecbba0f4e3b0fe24340f28d420b0e8f00a821","12,740,801.14","No"
"0x31964670469cb37fffb313cfc980e60ccb1055d2","12,686,680.326616323","No"
"0xd6fa03b398afda8bc7107308c123d241fbf97115","12,468,579.058891455","No"
"0xe478fba556a7c6e7c502997cb4855b78b8a0c381","12,229,424","No"
"0x34b272c51ff5ed66750d26bff13b211a24d2e21d","12,150,451.415463076","No"
"0x64f638a6b777a627bb0ed7ff2db58f8f2c13e7bd","11,744,131","No"
"0xa66516e5143b0b563d91ee2d24ab033bf52db348","11,642,596","No"
"0xa586b50e042b37ae6f58a45d80e390fa0ce2c8b5","11,595,369.263026271","No"
"0x81586a59ef3262d0e7388103f1620d7a94cce29a","11,335,364.48053561","No"
"0xea8c6a0fc444c0f3b6486e836089e2b6b5093a16","11,308,366.676254414","No"
"0xa7e519a652274e860c1175203b7d2cd864e9a383","11,274,546.833009574","No"
"0x3da6ba20ffcc381ffc88ca2729e89cd4c9d84628","11,144,064.973429014","No"
"0x49fc37fb1e3553f69eff7c736afbfbca00d9ff98","11,096,377","No"
"0x25d5f979edb6985acdec59a2c30a21e87190f96c","10,966,765.218996415","No"
"0xfd2cb33c68c5ff977d232b9204ea702fd831160d","10,535,866.671556406","No"
"0xa01da4a63536f8de6b556df99b5152ba0cc6f6c0","10,517,735.786666018","No"
"0xef39e97dabeefbe82051f5cccea2b29c5db0a8b9","10,322,178.72256948","No"
"0xa05f2d705e2419ce71fcab8c6aeb34f22cabfec7","9,695,089.828703392","No"
"0xf87940f78f2f4d99a0c5c22e3fcc21795cd53245","9,613,103.198988053","No"
"0xcd39755d6b4c07e004bb652d1f010c1675d56cef","9,490,668","No"
"0xcd31035b6eb7035ee30080903a8996aeb79ce6af","9,141,871.222620221","No"
"0xaf4bb41a7ee294c169fc749f7ca17fba3480f03a","9,032,982.558240859","No"
"0xeab0936b0553c9a1edbca11f77a8ce25411679aa","8,779,846.4","No"
"0xfa8e85e4a453928ee8d6b6235e5773d69528d94c","8,585,283.698327265","No"
"0x872608088a0aca7d82e2abeb74bf9b6a61733b90","8,099,958.887647148","No"
"0x2d05f6a3dff2869cb2b8d0e7b4ff93f3d2ae8c44","8,056,012.305454176","No"
"0xcf62c44047384d17cfea1a9131d911eb7883fa19","8,018,327.6","No"
"0x292c43055008138db665e395119d5fdd83d56f01","7,834,004.522229431","No"
"0x990e66c1255248300f48f3e7227bf6b8cf5398ef","7,619,637.773672137","No"
"0x7ff8e5ff99ddafa1b2387e537ee312d647a2251f","7,542,056.284024703","No"
"0x68f74cecae791fbb85b867d8ce72992837b491bc","7,457,852.083858156","No"
"0xfb1a5ee3710cbd4ce4b725a6675a68cf421f5bee","7,454,525.18243883","No"
"0xf80adaa9de7a9469275da73604f67e4397344b46","7,427,571.656145455","No"
"0x1549d898183d0addc34f5c9b2ae2088e9418188f","7,128,477.967158085","No"
"0x7e7ee72c1bc84c0711eaeb126298d962b59e7a1f","7,072,472.245334422","No"
"0x99008f205fbd879959aa954ce58119679df4c328","6,901,077.192417672","No"
"0x62c8c8b5260a753245389d3cb92dd8e8fbabb513","6,847,665.473213925","No"
"0xff95c1b9809d9b235cd4cddf38da49475aaca3c5","6,665,801.27607267","No"
"0x490b885190d2702c726ab51f3d3ce9949d3e3200","6,521,446.267946992","No"
"0x0c8b5f66010a899d1031c7ced0b52a6d9e15612f","6,492,503.078292887","No"
"0xb2d0e254084a182a47c23c909cd1168e1398c303","6,415,417.665896254","No"
"0x29a338a43ef4d9402c6871b45cd2c9d748a9d72f","6,413,807.348372324","No"
"0x4bef1af8fd526f65ec591a54bb755eb5bf268f5c","6,178,753.67","No"
"0xebe888bd447c7c08a8291b025ecf72af8f55c403","6,168,566.897764205","No"
"0xc788ed5d3d814da3701c0f8b127d4e6b36dee49f","6,167,260.142156852","No"
"0x4ed2b2e86fc1bf0092b8e2406048cde60daefd3f","5,964,642.608777297","No"
"0x7cf7d5302fb30cc42659b15d3ca207ad5ea0141b","5,913,624.1079768","No"
"0x6ff8b08b565b9c671e5065c3bcf760b98fa722a3","5,843,371.035289786","No"
"0x5ffb6d09f9186d54a07bca0abc918d08d0ad4130","5,747,827.6","No"
"0xd4ae0afafd4eee7dcc47757ceed7545a0334f63b","5,312,170","No"
"0x5b5c3acedcff7a5dc0bd3c24c69c466af2cff02e","5,305,191.35348813","No"
"0x0375ce43f6a491685e929c3ddeaf1834c1fc35d1","5,111,632.926093577","No"
"0x28572fe7a16e993036755bbbe5c5fc9d0dbf7302","4,954,792.049985377","No"
"0xb3bb15fa074981a5d1c7455885418899e3cbcb96","4,921,765.965675196","No"
"0xbeca516b886931819b51975997ffb9a5d351ce01","4,772,363.04575696","No"
"0xc9b6b6c9e3f237c52fb8609d75c823b44bde204c","4,769,205.670106858","No"
"0x20ba7167fb17b2fcdc31be459df8b677cf6495c4","4,721,133.5","No"
"0xf39626d1b38a5043c27e7953337974592ee18816","4,695,657.967009499","No"
"0xe6b50a9376280a0a61d86917a251b8283ec926fa","4,673,754.623906535","No"
"0xa92acce83b50a28dde06d0840fb938925d25e4ad","4,634,806.836298153","No"
"0x79ee2c5ef897f210e6f3c662df5d8785aec4dfe5","4,520,874","No"
"0xf22c285b0c6d3b5b3631092f7efd6f63db8d208d","4,470,325","No"
"0xaf1a1ad3ffd2395f8d9e6da490817d4c9a6e8e87","4,459,681.898231151","No"
"0xc5f243294efb5559d3a0f4c275b784962af4cff4","4,457,691","No"
"0x52db833d46a62142c759ecf476e46dc8f5f68206","4,262,582.554592175","No"
"0xdd5c7d2b4dd696ed58be464cdc59dea5561e410c","4,183,752.020762509","No"
"0x01a82aa75f8ebd8af525b1a8c564dc96fbf22c26","4,175,132","No"
"0x24423d8260a7859841d9afafd38f10bff2a5ab9e","4,175,132","No"
"0x5603c6c38881f69297df9123c135e81d5a602037","4,085,543.220622374","No"
"0x52d01b2c203e528103f997d02b76e03e0e4ddf13","4,074,637","No"
"0x6418f78dbcd7107121807472ab7dbbbf04464309","4,058,584.722312405","No"
"0xd34617fb0f31b8c10d2b59442bf3f4afe7618278","3,976,777.390757441","No"
"0x465cf170bb81ddcf97760fdf6988b2fff11d130c","3,882,815.164160911","No"
"0x6c52c51aa504975027a06cc6f7dbdf9869f5625a","3,869,655.012192413","No"
"0x57a8276c4a4d63188d127b10a34b0c6e8f6569e1","3,851,316","No"
"0x4a546085bbe84d1098d939af3b77b54fcbf649b3","3,834,249.540565132","No"
"0x56e01aeadb60a43f4c764bb20538d1c7247db60a","3,825,580","No"
"0xa104660aff74225ec96d5ea7ce578f15ca5641c9","3,725,000","No"
"0x4fb227adc482e9bd52b77babcf633acaf12e978c","3,679,428.206069029","No"
"0xe53a9f35881668338479b1b82e0dadc9787c3522","3,496,879.537259655","No"
"0x8bc791783392e56c1f459d5bc2dad327e0c770df","3,457,957.992548307","No"
"0x239089eaa2a8fd42a18f115be8f4f878800401ea","3,388,990.831927516","No"
"0x8d2c85e4fd7e7322e686c6faaa38f5871a5f8422","3,229,844.930299428","No"
"0xa5fb59fdbeaaf711781f981256c2ebb5f418acb8","3,130,444.28545482","No"
"0xba4d331030f9e6b692bb2224f6264c720e2dc897","3,036,063.6","No"
"0x701ef12698b3c05ab7255fc47bb4d254edbe337a","2,985,278.534774107","No"
"0x5d538b2be9bbd65ad8d092fd7b54c8753d9e6f03","2,926,887.733289037","No"
"0xcf5fc23f55c2f043626c9eed25153ef467766b86","2,920,094.347050421","No"
"0x602e872172ec86d6d9347502fdcfc1816ebbafab","2,816,598.378206073","No"
"0xa73f10bed11bb6148fc666776694a5c15f18ab44","2,783,965.14","No"
"0x38ac0f737c7e160867ba4fdd3f5852604e5fe5e9","2,773,872.764376956","No"
"0x33789812b80c871ec1abb7958a4be3964961dedb","2,697,916.883119938","No"
"0xf6efdc34fd22306364bd9e204c054f5b7c38cf81","2,688,635","No"
"0x79420944c4fedbb45cae85fc8d79b9aeaeb4a4e8","2,500,439.670926737","No"
"0x1a9f736ada037710d961774c0a432f98a06185b6","2,446,581.366445679","No"
"0x497ab3ebdab561b6ca1f54d9f46a94e7ba086046","2,438,000.41","No"
"0x60ccd81cdf3c198dac7c518da92defd57526931a","2,407,948.782681844","No"
"0xc85b0ac107ab4a9d75fe414c8f02cf7406d20375","2,340,390.69","No"
"0xc6f1b9e6cfb475ae2d9c881bb500cc63d5ee1ae7","2,326,499.469581128","No"
"0xde755b95485c9405626a0323105ff89b1ead1518","2,278,347.2","No"
"0xc6af9201b5d562d7754a8357c3216e0f6ce3cace","2,190,394","No"
"0xa13bfa2dd32e990418495688abc4072ff54ee218","2,189,840","No"
"0x074528cdf4979ea32a09a5d1a323e02e81805173","2,153,728.006722433","No"
"0x385e67463d9a1ee0d5b309d2c5124f5da5382dd4","2,083,109.31174747","No"
"0xad4da65a51afc682f9e52ab96ec6e34cbcae752f","2,032,060.09337365","No"
"0xb86ba85e1ce5bb8374c18ef01744639fc8a21f9f","2,009,171.759121038","No"
"0x9728226e67ae8af53f049acde9da028a58e6faa9","2,000,950.103609733","No"
"0x38fd92c666c55b989cf63d1f9e444517a0b3d195","2,000,050.424501565","No"
"0xe82e04759fc2657205145706567a48af86b5e099","2,000,000.000002266","No"
"0x2eff732486e60258fe2e39d37d48aa1d22c17c30","2,000,000","No"
"0xae3ea86190e67afb75249b365b48bfbe2f61b796","1,955,208.616923498","No"
"0x6ce1cf01ac5eb1b9c041a71cd5708bd78f7ed83a","1,954,402.333182468","No"
"0x832c3810c533398ed99c5e46cede7b0396cd75f5","1,862,558.796648315","No"
"0xe5c4bff41a78757886e5dec0020b35dd103c8d24","1,854,588","No"
"0x33e4a51e674f84f9e9cf504a2c204730622a429e","1,851,900","No"
"0x9a632539ff25d07639d5fc63b43c93adeed3bc44","1,850,033.935097221","No"
"0xbd921d44ae67e47e0b25ccf249c0c97b323d9f99","1,829,418.150879373","No"
"0x54e9fd06decb381dcbd5ccefc1c1cabadddc4cd0","1,816,908.239039951","No"
"0x00b727ca687628fb344df613f03f18b5fc84b3d0","1,754,159.6","No"
"0x0fd08cb8138748f9d72c8c10c699da2321cc2816","1,748,169.514134262","No"
"0x9fe251c3af4d7d91fb77f1b5a9412feb31377967","1,743,697.322555378","No"
"0x0a930a8b1349ed97494dd2a4025068678d577708","1,706,723.805967507","No"
"0xe9b94c6f2c1683155d40887de6e37cc76c81640a","1,672,043.01","No"
"0x1a6a6d66a24b0b7b8de9df4efb9301755d572a4d","1,652,107.2","No"
"0x16f332b58b42da6154f4cae756575f3d87a35139","1,645,681.455795782","No"
"0x13938ecd2a68a62fe5116ec66bbcb0daf5762229","1,580,782.633229957","No"
"0xf73cebbe4b256a8f5c5b0bea16b81cd9b9877d70","1,554,000.825051863","No"
"0x92c526359e02f6e5cc08f62dddfb2d0ee002a4ef","1,552,752.837052679","No"
"0x0bab47be017cd495cc609e33461bc30df3401cba","1,551,380.195712255","No"
"0xbb5fc7693ebbf2b2ac581989b602134683540721","1,551,227","No"
"0x6404fcbae4c6d730434519bb90bbcadd9752074f","1,545,339.558638861","No"
"0x01c7ffefed8200aeeffcf8100052611422cb107c","1,531,532.544412939","No"
"0x5a805062ad432f9801b9293056292531cf1d460a","1,518,842.746143742","No"
"0x2b6bbbc2bc84230b6a470baf10d6f19101ca9d13","1,517,830.8","No"
"0x21d3f25f110f819cb7a9a8df708c14200093cbd7","1,415,929.2","No"
"0x2f5890735de12c4871f72798ade473d63efc3000","1,402,707.767639801","No"
"0xa408c5139dbbe4154a7229b7d0b215e3649bfba5","1,386,952.753683842","No"
"0xa9bbb603d415b25bd75bc069584e2ad7a23f5067","1,357,710.5","No"
"0xc72c8f8bbcc04e6cbc01d32a679244ab1143bee7","1,355,902.178511464","No"
"0xa69396b9005b2dd7d3a5bc6eae3b4a0a4f1599ae","1,352,970.54","No"
"0x6edc785a7a10fa66188055fbc0c4b31caf9e1f49","1,303,302.127262991","No"
"0xd1d8eb3a1915b2e11ecb3e124dba5084ee8aa6e3","1,299,054.461889031","No"
"0x16dd952ce1ff2495901315576d4e254b234ff1fb","1,264,562.915899582","No"
"0x082aba3832c29d2c5a82719a27561f0159320d41","1,260,164.127829956","No"
"0xc9151600fa731cbb5f584fe0e233b028964f0f24","1,243,811.838149011","No"
"0xfddfda3c06dff67edd3e456138a00c571a4e793c","1,238,427.065828425","No"
"0x3c7dd176dfba7b1743a70174286a13cb8659c37d","1,238,036.498886766","No"
"0x6e56f055758af821810069984f836bb56ca4dac8","1,182,937.849493286","No"
"0x999f1abaf82a4a63ff057b60cdecb4ca4eef5082","1,175,031.582731988","No"
"0x733e0a3a672a322d0a822f585149ece7ffb429ac","1,172,349.696006094","No"
"0x1fe3904587ada8997a109f4cfcfc82c87011bcaf","1,124,621","No"
"0xdb7ee0f33778107db172aa800b5d60479ba1890d","1,121,425.099772488","No"
"0x29b78abf9e3ccd3762a7cc492c293aec98bbac3a","1,098,987.501726702","No"
"0xc39d3a63a85f35b15763297f49c2849668b73f97","1,091,787.411613243","No"
"0x495b4a4b33d8472982463a06b8ae1795402b4641","1,056,894","No"
"0x88239ba4002ac1066dff6314023d2ec3d99aba2a","1,053,813.936082692","No"
"0xdfdcc55632ee7b5efa0d7c18cfb26587a7777e5e","1,045,803","No"
"0xaf26df671ff09555719040728781f938d482833f","1,033,327.822836717","No"
"0x073f48987da0f5cbaf64121a2fd5eff4c4309cd5","1,003,211","No"
"0x62a3f1c698a53c77386d1b74e8838875c10e0fa0","1,001,814.570840401","No"
