"HolderAddress","Balance","PendingBalanceUpdate"
"0xcc89be12f7e28dc0b159abc627244409ed23e48e","28,194,444.2506666656","No"
"0xb3336e07946c015aaee662d43a1d5aefabeeac2f","9,470,169.467202610661521266","No"
"0x9c627d113050824d8f927fda166bdfc43ff16006","6,429,067.850218849537309003","No"
"0xa86192c63214745e814495ce7b315191d9588655","4,477,403.73","No"
"0x2e26835cbedd517aaaea92c4e73644bd689797b8","3,799,329.72","No"
"0x9b32b28f1a0fe3853c1a87c75c1636b2ae7293e0","2,876,107","No"
"0x103c9c7a43caf200d70c89ae39fb535a50b4ebe4","1,530,535.76","No"
"0xb405b3e6494cac9a88660362ee19c38e955e2c6e","1,141,671.124512080167461958","No"
"0x89d36091f9ec93c98756ed90bcadd72a713759f7","930,407.655172413817931034","No"
"0x16f332b58b42da6154f4cae756575f3d87a35139","817,867.16666666664","No"
"0x1e5d1d00b91b30ed7e9913173054e73f7224eaf3","810,373","No"
"0xcf62c44047384d17cfea1a9131d911eb7883fa19","637,753.1","No"
"0x3faccbccf8d7c3e90e6cf61280945db113c7d62b","609,166.66666666666","No"
"0x04490dc0f52a97ef2d6ea0c4d9edbcde8c8546cc","588,076.770114942518620689","No"
"0xa265f26b57fae4ea71c07bc8511660dda7bbe60e","401,254.709641087145946856","No"
"0xd9258ccc1eeeb063679d91ee24ccc4bedee22321","395,197.602608695652173913","No"
"0x43064b1cf7192568714cd98996e6de732429e5c5","371,057.922671632727812285","No"
"0x59002c5269eea417eaf6de1562c4495e6b7f9c67","333,878","No"
"0xef1c3e3dc59bfdeac03b5eae6ab2b93c3a671a30","304,763.803786839723416446","No"
"0x7e0b0363404751346930af92c80d1fef932cc48a","304,136","No"
"0x6ce1cf01ac5eb1b9c041a71cd5708bd78f7ed83a","290,921.8","No"
"0xac082d28ebc3a8b1f4feb4113ae1831bed668802","279,093.498119970066661131","No"
"0x7ff8e5ff99ddafa1b2387e537ee312d647a2251f","271,882.122537650949287139","No"
"0xb86ba85e1ce5bb8374c18ef01744639fc8a21f9f","253,333","No"
"0x9728226e67ae8af53f049acde9da028a58e6faa9","248,069.123499422613833018","No"
"0x32322a6d7112e23beaf1a43a94c8a546a7e3873f","216,448.861685576490313767","No"
"0xbda6878a527d58021a5780277dd3752921166220","211,197.97368217643664981","No"
"0x6f4a06df0a5ac39174603adda39079ccd62726a0","191,456.51","No"
"0xeb80077d98a5f4407afe29cda0293d3f8a55805c","181,909.1","No"
"0xf83603f3dfa2f10dce4566a69b353dd72b829859","152,367.784779928887169309","No"
"0x12909009d651d40d6ae00b150db3107bc5654603","121,833.333333333336","No"
"0x63be6391e09a8b84bd891242523b5af98806dc23","120,615","No"
"0x4ffffb153ea67b7c9e769e13d0c3bc5f5249865b","113,534","No"
"0x9046341cf868d3f0266c24405cfdec0c18621f63","94,737.3","No"
"0x002d91efbaccf7774cc56267a0992bdaf5bae53f","74,432.689655172412137931","No"
"0xf559f43970454c8a1eb2622bd8ba021eb76c7df1","72,856.333333333332","No"
"0x4670748b6a7918451c261091798d0923eec34d3c","72,125.333333333336","No"
"0xa1b0682611d5ee1b4d5dab097e924387f455a089","68,641.594817667167796756","No"
"0xabe46a3a4fbd37e4e0ba92a61fecd5eaa58c80ea","67,238.25789504356762776","No"
"0xc788ed5d3d814da3701c0f8b127d4e6b36dee49f","67,144.707826086956521739","No"
